Date,Pay Code,Hours,Wages,Associate UIK
9/7/2022,Regular,8,238.46,2743263
9/7/2022,Regular,8.3,125.16,2727065
9/7/2022,Regular,8.32,125.42,2727078
9/7/2022,Regular,8.33,125.67,2727091
9/7/2022,Regular,8.5,146.63,2727104
9/7/2022,Regular,8,120.64,2727962
9/7/2022,Regular,7.9,119.13,2727117
9/7/2022,Regular,8.5,167.96,2727130
9/7/2022,Regular,9.2,210.5,2726532
9/7/2022,Regular,8,269.23,2725518
9/7/2022,Regular,8,148.32,2737088
9/7/2022,Regular,8,348.08,2729860
9/7/2022,Regular,8,211.54,2726714
9/7/2022,Regular,8.27,148.3,2725674
9/7/2022,Regular,7.68,115.86,2727884
9/7/2022,Regular,8.5,166.35,2725947
9/7/2022,Regular,8.47,163.83,2726337
9/7/2022,Regular,12.52,337.95,2742535
9/7/2022,Regular,7,138.32,2727143
9/7/2022,Regular,8.25,167.31,2726506
9/7/2022,Regular,8,249.84,2725440
9/7/2022,Regular,7.88,121.64,2727182
9/7/2022,Regular,8.67,189.28,2725934
9/7/2022,Regular,8.5,200.86,2728937
9/7/2022,Regular,8.3,265.6,2745499
9/7/2022,Regular,8.5,192.61,2726038
9/7/2022,Regular,8.65,204.4,2726207
9/7/2022,Regular,8,250.5,2726025
9/7/2022,Regular,8.63,165.5,2726428
9/7/2022,Regular,10.3,243.39,2725466
9/7/2022,PTO,8,143.52,2735138
9/8/2022,Regular,8,120.64,2727156
9/8/2022,Regular,8,258.49,2727832
9/8/2022,Regular,8,120.64,2727208
9/8/2022,PTO,8,143.52,2725570
9/8/2022,Regular,6.98,125.28,2725570
9/8/2022,Regular,8.62,188.19,2726090
9/8/2022,Regular,9.13,180.47,2732213
9/8/2022,Regular,8,237.94,2736269
9/8/2022,Regular,8.03,158.74,2736347
9/8/2022,Regular,8.45,160.55,2743042
9/8/2022,Regular,8.37,148.68,2725583
9/8/2022,Regular,8,123.44,2726766
9/8/2022,Regular,9.53,214.5,2726259
9/8/2022,Regular,8,119.52,2727221
9/8/2022,Regular,8.33,125.67,2727234
9/8/2022,Regular,9.8,220.5,2725739
9/8/2022,Regular,8.25,167.31,2726389
9/8/2022,Regular,8,384.62,2727845
9/8/2022,Regular,8.1,160.06,2725856
9/8/2022,Regular,8.5,166.35,2737036
9/8/2022,Regular,8,230.77,2726272
9/8/2022,Regular,8.38,193.66,2725921
9/8/2022,Regular,4.55,89.91,2729028
9/8/2022,Regular,8.77,191.46,2725960
9/8/2022,PTO,8,143.52,2725596
9/8/2022,Regular,8.5,194.48,2725986
9/8/2022,Regular,8.5,183.86,2725973
9/8/2022,Regular,8,119.52,2727247
9/8/2022,Regular,8,120.64,2726792
9/8/2022,Regular,8.25,163.27,2726298
9/8/2022,Regular,8.3,125.16,2726805
9/8/2022,Regular,8.87,193.65,2728989
9/8/2022,Unpaid Time Off,8,0,2727169
9/8/2022,Regular,8,121.84,2735034
9/8/2022,Regular,8.6,159.1,2742717
9/8/2022,Regular,8.17,155.17,2742288
9/8/2022,Regular,8,123.44,2726818
9/8/2022,Regular,8.32,162.18,2740637
9/8/2022,PTO,8,259.86,2725453
9/8/2022,Regular,9.17,181.13,2727702
9/8/2022,Regular,8,156.56,2726623
9/8/2022,Regular,7.27,163.5,2737023
9/8/2022,Overtime,3.13,105.75,2737023
9/8/2022,Regular,8.25,148.5,2745551
9/8/2022,Regular,8,119.52,2727260
9/8/2022,Regular,8,230.77,2729041
9/8/2022,Regular,8.9,208.26,2726246
9/8/2022,Regular,8.25,159.64,2726350
9/8/2022,Regular,8.25,173.25,2726415
9/8/2022,Regular,8.5,167.96,2726857
9/8/2022,Regular,8.05,121.39,2726896
9/8/2022,Regular,8,357.69,2731004
9/8/2022,Regular,9.37,177.97,2687402
9/8/2022,Regular,8.5,249.9,2725492
9/8/2022,Regular,8.07,121.65,2726909
9/8/2022,Unpaid Time Off,8,0,2725869
9/8/2022,Regular,8.25,149.41,2736321
9/8/2022,Unpaid Time Off,8,0,2726493
9/8/2022,Regular,8.22,147.41,2725752
9/8/2022,Regular,8,353.85,2729964
9/8/2022,Regular,8.62,170.27,2726597
9/8/2022,Regular,8,234.18,2726155
9/8/2022,Regular,8.65,175.42,2726545
9/8/2022,Regular,8.7,165.3,2745564
9/8/2022,Regular,8,120.64,2726948
9/8/2022,Regular,8.25,175.89,2726441
9/8/2022,PTO,8,156.56,2735086
9/8/2022,Regular,8.4,190.34,2726012
9/8/2022,Regular,8.07,159.4,2726129
9/8/2022,Regular,8.37,169.68,2726584
9/8/2022,Regular,8,120.64,2727286
9/8/2022,Regular,7.78,116.28,2727689
9/8/2022,Regular,8.45,248.43,2727676
9/8/2022,Regular,8,315.44,2727858
9/8/2022,Regular,8.15,154.28,2725401
9/8/2022,Regular,8,328.82,2727806
9/8/2022,Regular,7.83,120.87,2727312
9/8/2022,Regular,7.83,120.87,2727325
9/8/2022,Regular,8,120.64,2726935
9/8/2022,Overtime,5.97,204.78,2726558
9/8/2022,Regular,6.45,147.58,2726558
9/8/2022,Regular,8.27,243.04,2725479
9/8/2022,Regular,8.25,154.44,2736997
9/8/2022,Regular,0,0,2744719
9/8/2022,Regular,8.5,166.35,2725882
9/8/2022,Regular,9.03,171.63,2746864
9/8/2022,Regular,8.97,170.37,2741170
9/8/2022,Regular,8,120.64,2727338
9/8/2022,Regular,8.15,154.85,2742496
9/8/2022,Regular,8,199.84,2725427
9/8/2022,Regular,8.02,143.82,2725700
9/8/2022,Regular,8.2,123.66,2725531
9/8/2022,Regular,8,119.52,2726974
9/8/2022,Regular,7.88,118.88,2736334
9/8/2022,Regular,8,384.62,2735073
9/8/2022,Regular,8,346.15,2739168
9/8/2022,Regular,7.92,150.42,2743653
9/8/2022,Regular,6.02,89.89,2727429
9/8/2022,Regular,8.75,172.9,2726233
9/8/2022,Regular,8.28,148.6,2725648
9/8/2022,Regular,8.55,171,2744745
9/8/2022,Overtime,5.62,166.48,2726402
9/8/2022,Regular,5.38,106.37,2726402
9/8/2022,Regular,7.87,120.28,2727364
9/8/2022,Regular,8.12,154.22,2726987
9/8/2022,Regular,8,120.64,2726961
9/8/2022,Regular,9.72,146.53,2727000
9/8/2022,Regular,8.35,125.92,2725544
9/8/2022,Regular,8,120.64,2727715
9/8/2022,Regular,8.5,249.9,2725505
9/8/2022,Regular,8,178.08,2726168
9/8/2022,PTO,4,87.36,2726285
9/8/2022,Regular,4.5,98.28,2726285
9/8/2022,Regular,8.85,168.15,2741157
9/8/2022,Regular,8.4,168.76,2726571
9/8/2022,Regular,8.05,154.96,2710048
9/8/2022,Regular,8.5,161.5,2741144
9/8/2022,Unpaid Time Off,8,0,2726480
9/8/2022,Regular,8,120.64,2727013
9/8/2022,Regular,8,515.38,2727728
9/8/2022,Regular,10.02,211.25,2725388
9/8/2022,Regular,8.25,148.01,2735021
9/8/2022,Regular,8,615.38,2727767
9/8/2022,Regular,8,120.64,2727403
9/8/2022,Regular,8.98,206.62,2741105
9/8/2022,Regular,7.55,164.89,2725908
9/8/2022,Unpaid Time Off,1,0,2725908
9/8/2022,Regular,1.12,24.39,2726194
9/8/2022,Regular,8.12,154.22,2746461
9/8/2022,Regular,8.23,124.16,2727026
9/8/2022,Regular,8.75,174.56,2725557
9/8/2022,Regular,8.58,171.67,2742561
9/8/2022,Regular,8.32,153.86,2742548
9/8/2022,PTO,8,309.57,2727819
9/8/2022,Regular,8.27,172.03,2725609
9/8/2022,Regular,8.25,156.75,2746552
9/8/2022,Regular,8.32,126.66,2735047
9/8/2022,Unpaid Time Off,8,0,2746877
9/8/2022,Regular,8.48,162.63,2726454
9/8/2022,Regular,7.98,143.22,2727468
9/8/2022,Regular,8,119.52,2727052
9/8/2022,Regular,8.25,148.5,2745577
9/8/2022,Regular,8.82,163.11,2741079
9/8/2022,Regular,8,238.46,2743263
9/8/2022,Regular,8.22,123.91,2727065
9/8/2022,Regular,8.2,123.66,2727078
9/8/2022,Regular,8.23,124.16,2727091
9/8/2022,Regular,8.33,143.75,2727104
9/8/2022,Regular,8,120.64,2727962
9/8/2022,Regular,8.1,122.15,2727117
9/8/2022,Regular,9.23,182.45,2727130
9/8/2022,Regular,10.57,241.77,2726532
9/8/2022,Regular,8,269.23,2725518
9/8/2022,Regular,8.05,149.25,2737088
9/8/2022,Regular,8,348.08,2729860
9/8/2022,Regular,8,211.54,2726714
9/8/2022,Regular,8.75,156.98,2725674
9/8/2022,Regular,7.78,117.37,2727884
9/8/2022,Regular,8.63,168.95,2725947
9/8/2022,Regular,8.25,159.64,2726337
9/8/2022,Regular,11.95,322.65,2742535
9/8/2022,Regular,8.1,160.06,2727143
9/8/2022,Regular,8.25,167.31,2726506
9/8/2022,Regular,8,249.84,2725440
9/8/2022,Regular,8,123.44,2727182
9/8/2022,Regular,9.23,201.66,2725934
9/8/2022,Regular,8.62,203.61,2728937
9/8/2022,Regular,8.33,266.67,2745499
9/8/2022,Regular,8.5,192.61,2726038
9/8/2022,Regular,8.75,206.76,2726207
9/8/2022,Regular,8,250.5,2726025
9/8/2022,Regular,9.03,173.17,2726428
9/8/2022,Regular,10.38,245.36,2725466
9/8/2022,Regular,7.98,143.22,2735138
9/9/2022,Regular,7.5,113.1,2727156
9/9/2022,Regular,8,258.49,2727832
9/9/2022,Regular,7.32,110.34,2727208
9/9/2022,Regular,8.6,154.28,2725570
9/9/2022,Regular,9.1,198.74,2726090
9/9/2022,PTO,7,208.2,2736269
9/9/2022,Regular,6,118.56,2736347
9/9/2022,Regular,8.25,146.6,2725583
9/9/2022,Regular,8,123.44,2726766
9/9/2022,Regular,7.5,112.05,2727221
9/9/2022,Regular,7.67,115.61,2727234
9/9/2022,Regular,8.95,201.38,2725739
9/9/2022,Overtime,1.87,63,2725739
9/9/2022,Regular,8,384.62,2727845
9/9/2022,Regular,9.1,179.82,2725856
9/9/2022,Regular,8.78,171.89,2737036
9/9/2022,Regular,8,230.77,2726272
9/9/2022,Regular,8.62,199.05,2725921
9/9/2022,Regular,8.12,160.39,2729028
9/9/2022,Regular,8.83,192.92,2725960
9/9/2022,Regular,8.4,150.7,2725596
9/9/2022,Regular,8.5,194.48,2725986
9/9/2022,Regular,8.9,192.51,2725973
9/9/2022,Regular,7.45,111.3,2727247
9/9/2022,Regular,7.78,117.37,2726792
9/9/2022,Regular,12.2,241.44,2726298
9/9/2022,Regular,7.9,119.13,2726805
9/9/2022,Regular,8.9,194.38,2728989
9/9/2022,Regular,8.33,163.08,2727169
9/9/2022,Regular,8,123.44,2726818
9/9/2022,Regular,8.23,160.55,2740637
9/9/2022,PTO,8,259.86,2725453
9/9/2022,Regular,7.47,152.54,2702391
9/9/2022,Regular,8.4,164.39,2726623
9/9/2022,Regular,8.97,161.4,2745551
9/9/2022,Regular,7.55,112.8,2727260
9/9/2022,Regular,8,230.77,2729041
9/9/2022,Regular,12,232.2,2726350
9/9/2022,Regular,7.93,166.6,2726415
9/9/2022,Unpaid Time Off,8,0,2726857
9/9/2022,Regular,8,152,2746448
9/9/2022,Regular,7.83,118.13,2726896
9/9/2022,Regular,8,357.69,2731004
9/9/2022,Regular,9.47,179.87,2687402
9/9/2022,Regular,8.62,253.33,2725492
9/9/2022,Regular,8.22,123.91,2726909
9/9/2022,Regular,8,223.08,2725869
9/9/2022,Regular,8.25,149.41,2736321
9/9/2022,Regular,8,353.85,2729964
9/9/2022,PTO,8,158.08,2726597
9/9/2022,Regular,8,234.18,2726155
9/9/2022,Regular,8.52,172.72,2726545
9/9/2022,Regular,8.67,164.67,2745564
9/9/2022,Regular,7.83,118.13,2726948
9/9/2022,Regular,8.25,175.89,2726441
9/9/2022,Regular,9.28,181.67,2735086
9/9/2022,Regular,9.25,209.61,2726012
9/9/2022,Regular,7.98,157.75,2726129
9/9/2022,PTO,8,162.24,2726584
9/9/2022,Regular,7.5,113.1,2727286
9/9/2022,Regular,8.15,121.76,2727689
9/9/2022,Regular,8,315.44,2727858
9/9/2022,Regular,8.27,156.49,2725401
9/9/2022,Regular,8,328.82,2727806
9/9/2022,Regular,7.45,114.95,2727312
9/9/2022,Regular,7.45,114.95,2727325
9/9/2022,Regular,8.12,122.4,2726935
9/9/2022,Overtime,9.3,319.18,2726558
9/9/2022,Regular,8.28,243.53,2725479
9/9/2022,Regular,8.4,157.25,2736997
9/9/2022,Regular,0,0,2744719
9/9/2022,Regular,8.78,171.89,2725882
9/9/2022,Regular,9.28,176.38,2741170
9/9/2022,Regular,7.5,113.1,2727338
9/9/2022,Regular,8.17,155.17,2742496
9/9/2022,Regular,8,199.84,2725427
9/9/2022,Regular,7.58,136.05,2725700
9/9/2022,Regular,8.28,124.91,2725531
9/9/2022,Unpaid Time Off,8,0,2726974
9/9/2022,Regular,7.78,117.37,2736334
9/9/2022,Regular,8,384.62,2735073
9/9/2022,Regular,8,346.15,2739168
9/9/2022,Regular,8.72,165.62,2743653
9/9/2022,Regular,8.75,172.9,2726233
9/9/2022,Regular,8.38,150.4,2725648
9/9/2022,Regular,8.38,167.67,2744745
9/9/2022,Regular,7.48,114.42,2727364
9/9/2022,Regular,8,152,2726987
9/9/2022,Regular,8,120.64,2726961
9/9/2022,Regular,9.5,143.26,2727000
9/9/2022,Regular,8.33,125.67,2725544
9/9/2022,Regular,7.5,113.1,2727715
9/9/2022,Regular,8.13,239.12,2725505
9/9/2022,Regular,7.5,166.95,2726168
9/9/2022,Regular,8.65,164.35,2741157
9/9/2022,Regular,12.22,245.43,2726571
9/9/2022,Regular,7.95,153.04,2710048
9/9/2022,PTO,1,19,2741144
9/9/2022,Regular,8.22,156.12,2741144
9/9/2022,Regular,8.1,122.15,2727013
9/9/2022,PTO,8,515.38,2727728
9/9/2022,Overtime,0.68,21.62,2725388
9/9/2022,Regular,9.55,201.41,2725388
9/9/2022,Regular,7.7,138.14,2735021
9/9/2022,Regular,8,615.38,2727767
9/9/2022,Regular,7.53,113.6,2727403
9/9/2022,Unpaid Time Off,8,0,2725908
9/9/2022,Regular,8.73,190.74,2726194
9/9/2022,Regular,8,152,2746461
9/9/2022,Regular,8.38,126.42,2727026
9/9/2022,Regular,9,179.55,2725557
9/9/2022,Regular,8.53,170.67,2742561
9/9/2022,Regular,8.23,152.32,2742548
9/9/2022,Regular,8,309.57,2727819
9/9/2022,Regular,7.97,165.79,2725609
9/9/2022,Regular,8.33,158.33,2746552
9/9/2022,Regular,7.73,117.78,2735047
9/9/2022,Regular,8.13,145.91,2727468
9/9/2022,Regular,7.83,117.03,2727052
9/9/2022,Regular,8.25,148.5,2745577
9/9/2022,Regular,8.25,152.63,2741079
9/9/2022,Regular,10.1,231.09,2726181
9/9/2022,PTO,5,90.55,2725661
9/9/2022,Unpaid Time Off,3,0,2725661
9/9/2022,Regular,8,238.46,2743263
9/9/2022,Regular,7.77,117.12,2727065
9/9/2022,Regular,8,120.64,2727078
9/9/2022,Regular,8,120.64,2727091
9/9/2022,Regular,8.5,146.63,2727104
9/9/2022,Regular,8,120.64,2727962
9/9/2022,Regular,8.45,127.43,2727117
9/9/2022,Regular,8.3,164.01,2727130
9/9/2022,Regular,8.53,195.24,2726532
9/9/2022,Regular,8,269.23,2725518
9/9/2022,Regular,8,348.08,2729860
9/9/2022,Regular,8,211.54,2726714
9/9/2022,Regular,8.63,154.88,2725674
9/9/2022,Regular,7.78,117.37,2727884
9/9/2022,Regular,12.72,248.87,2725947
9/9/2022,Regular,8.5,164.48,2726337
9/9/2022,Overtime,9.63,419.05,2742535
9/9/2022,Regular,2.97,86.03,2742535
9/9/2022,Regular,8,158.08,2727143
9/9/2022,Regular,7.77,157.51,2726506
9/9/2022,Regular,8,249.84,2725440
9/9/2022,Regular,8,123.44,2727182
9/9/2022,PTO,8,174.72,2725934
9/9/2022,Regular,8.5,200.86,2728937
9/9/2022,Regular,8.3,265.6,2745499
9/9/2022,Regular,8.27,187.32,2726038
9/9/2022,Regular,8.75,206.76,2726207
9/9/2022,Regular,8,250.5,2726025
9/9/2022,Overtime,1.55,54.94,2725466
9/9/2022,Regular,9.05,213.85,2725466
9/9/2022,Regular,7.25,130.07,2735138
9/9/2022,$0.00,,,2725466
9/9/2022,$0.00,,,2735138
9/10/2022,Regular,6.23,118,2725401
9/10/2022,Regular,5.22,116.12,2726168
9/10/2022,Regular,6.02,138.38,2741105
9/10/2022,Regular,6.17,114.33,2737088
9/10/2022,Overtime,5.12,222.58,2742535
9/10/2022,Regular,5.38,172.27,2745499
9/11/2022,Regular,8.6,169.94,2732213
9/11/2022,Regular,10.15,228.38,2726259
9/11/2022,Regular,9.03,183.2,2726389
9/11/2022,Regular,8,121.84,2735034
9/11/2022,Regular,8.75,172.9,2727702
9/11/2022,Regular,11.45,257.63,2737023
9/11/2022,Regular,8.9,208.26,2726246
9/11/2022,Unpaid Time Off,8,0,2726493
9/11/2022,Regular,8.12,145.61,2725752
9/11/2022,Regular,11.05,324.87,2727676
9/11/2022,Regular,9.85,225.37,2726558
9/11/2022,Regular,8.65,164.35,2746864
9/11/2022,Regular,8.17,122.01,2727429
9/11/2022,Regular,10.08,199.25,2726402
9/11/2022,Regular,9.3,203.11,2726285
9/11/2022,Unpaid Time Off,8,0,2726480
9/11/2022,Regular,8.75,166.25,2746877
9/11/2022,Regular,10.02,185.71,2737088
9/11/2022,Regular,10.3,197.45,2726428
9/12/2022,Regular,8.17,123.15,2727156
9/12/2022,Regular,8,258.49,2727832
9/12/2022,Regular,8.32,125.42,2727208
9/12/2022,Regular,8.1,145.31,2725570
9/12/2022,Regular,8.6,187.82,2726090
9/12/2022,Regular,8.67,171.25,2732213
9/12/2022,PTO,8,237.94,2736269
9/12/2022,Regular,9.13,180.47,2736347
9/12/2022,Regular,8.7,165.3,2743042
9/12/2022,Regular,8.4,149.27,2725583
9/12/2022,PTO,8,123.44,2726766
9/12/2022,Regular,9.43,212.25,2726259
9/12/2022,Regular,8.3,125.16,2727234
9/12/2022,Regular,12.2,274.5,2725739
9/12/2022,PTO,1,20.28,2726389
9/12/2022,Regular,7.47,151.42,2726389
9/12/2022,Regular,8,384.62,2727845
9/12/2022,Regular,8,158.08,2725856
9/12/2022,Regular,8.32,162.76,2737036
9/12/2022,Regular,8,230.77,2726272
9/12/2022,Regular,8.5,196.35,2725921
9/12/2022,Regular,8.87,175.21,2729028
9/12/2022,Regular,8.8,192.19,2725960
9/12/2022,Regular,7.93,142.32,2725596
9/12/2022,Regular,8.5,194.48,2725986
9/12/2022,Regular,9.07,196.11,2725973
9/12/2022,Regular,8.52,127.24,2727247
9/12/2022,PTO,8,120.64,2726792
9/12/2022,Regular,12.05,238.47,2726298
9/12/2022,Regular,7.83,118.13,2726805
9/12/2022,Regular,8.85,193.28,2728989
9/12/2022,Regular,8.7,170.26,2727169
9/12/2022,Regular,8,121.84,2735034
9/12/2022,Regular,10.25,194.75,2742288
9/12/2022,Regular,8.62,132.96,2726818
9/12/2022,Regular,8.25,160.88,2740637
9/12/2022,Regular,8,259.86,2725453
9/12/2022,Regular,8.32,164.34,2727702
9/12/2022,Regular,0,0,2702391
9/12/2022,Regular,8.7,131.1,2726623
9/12/2022,Regular,11.07,249,2737023
9/12/2022,Regular,8.55,153.9,2745551
9/12/2022,Regular,8.27,123.5,2727260
9/12/2022,Regular,8,230.77,2729041
9/12/2022,Regular,8.57,200.46,2726246
9/12/2022,Regular,12.25,237.04,2726350
9/12/2022,Regular,8.67,182,2726415
9/12/2022,Regular,8.65,170.92,2726857
9/12/2022,Regular,8.25,156.75,2746448
9/12/2022,PTO,8,120.64,2726896
9/12/2022,Regular,8,357.69,2731004
9/12/2022,Regular,8.5,249.9,2725492
9/12/2022,Regular,7.8,117.62,2726909
9/12/2022,Regular,8,223.08,2725869
9/12/2022,Regular,8.87,160.58,2736321
9/12/2022,Unpaid Time Off,8,0,2726493
9/12/2022,Regular,8.25,148.01,2725752
9/12/2022,Regular,8,353.85,2729964
9/12/2022,PTO,8,158.08,2726597
9/12/2022,Regular,8,234.18,2726155
9/12/2022,Regular,0,0,2726545
9/12/2022,Regular,8.9,169.1,2745564
9/12/2022,Regular,8,120.64,2726948
9/12/2022,Regular,8.25,175.89,2726441
9/12/2022,Regular,9.08,177.76,2735086
9/12/2022,Regular,9.17,207.72,2726012
9/12/2022,Regular,8.95,176.85,2726129
9/12/2022,PTO,8,162.24,2726584
9/12/2022,Regular,8,120.64,2727286
9/12/2022,Regular,7.72,115.29,2727689
9/12/2022,Regular,8.53,250.88,2727676
9/12/2022,Regular,8,315.44,2727858
9/12/2022,Regular,8.6,162.8,2725401
9/12/2022,Regular,8,328.82,2727806
9/12/2022,Regular,8,123.44,2727312
9/12/2022,Regular,8,123.44,2727325
9/12/2022,Regular,8.7,131.2,2726935
9/12/2022,Regular,11.95,273.42,2726558
9/12/2022,Regular,8.15,239.61,2725479
9/12/2022,Regular,8.97,167.86,2736997
9/12/2022,Regular,0,0,2744719
9/12/2022,Regular,8.32,162.76,2725882
9/12/2022,Regular,8.75,166.25,2746864
9/12/2022,Regular,9.18,174.48,2741170
9/12/2022,Regular,8.27,124.66,2727338
9/12/2022,Regular,8.17,155.17,2742496
9/12/2022,Regular,8,199.84,2725427
9/12/2022,Regular,8.15,122.9,2725531
9/12/2022,Regular,8.62,128.73,2726974
9/12/2022,Regular,7.65,115.36,2736334
9/12/2022,Regular,8,384.62,2735073
9/12/2022,Regular,8,346.15,2739168
